pos,country_code,region_code,PourcentDeathAttribuableEnv,Per100000AirPol,Per100000Chemi,Per100000Water,Per100000UV,country_name,region_name,WorldBankincome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",,,,,,,,,,,,,,,,,,,"
48,DMA,AMR,0.13,,,,0.01,Dominica,Americas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,DNK,EUR,0.1,30.36658,0.14777,0.306,4.19,Denmark,Europe,High income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,DOM,AMR,0.19,38.45124,0.38047,2.205,0.68,Dominican Republic,Americas,Upper middle income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,DZA,AFR,0.17,40.33154,0.77317,1.867,0.29,Algeria,Africa,Upper middle income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,ECU,AMR,0.16,22.37641,0.59173,0.642,0.76,Ecuador,Americas,Upper middle income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,EGY,EMR,0.19,73.25533,0.22419,2.002,0.07,Egypt,Eastern Mediterranean,Lower middle income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,ERI,AFR,0.24,95.46869,4.1718,45.564,0.6,Eritrea,Africa,Low income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,ESP,EUR,0.11,27.12917,0.20236,0.152,2.55,Spain,Europe,High income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,EST,EUR,0.13,59.867,0.48329,0.006,3.34,Estonia,Europe,High income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,ETH,AFR,0.22,82.09592,2.86687,43.664,0.69,Ethiopia,Africa,Low income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,FIN,EUR,0.11,18.67571,0.2282,0.036,2.96,Finland,Europe,High income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,FJI,WPR,0.15,76.15148,0.44475,2.888,0.48,Fiji,Western Pacific,Upper middle income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,FRA,EUR,0.11,25.17518,0.45874,0.265,2.38,France,Europe,High income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,FSM,WPR,0.14,92.69592,0.98282,3.57,0.74,Federated States of Micronesia,Western Pacific,Lower middle income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,GAB,AFR,0.19,50.55784,0.92714,20.579,3,Gabon,Africa,Upper middle income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
